3D Run ID,Shift,swA,swB,tet
1,1,1,1,1.2217305
2,1,1,1.8,1.2217305
3,1,1.8,1,1.2217305
4,1,1.8,1.8,1.2217305
5,1,1,1,1.2566371
6,1,1,1.8,1.2566371
7,1,1.8,1,1.2566371
8,1,1.8,1.8,1.2566371
9,1,1,1,1.2915436
10,1,1,1.8,1.2915436
11,1,1.8,1,1.2915436
12,1,1.8,1.8,1.2915436
13,1,1,1,1.3264502
14,1,1,1.8,1.3264502
15,1,1.8,1,1.3264502
16,1,1.8,1.8,1.3264502
17,1,1,1,1.3613568
18,1,1,1.8,1.3613568
19,1,1.8,1,1.3613568
20,1,1.8,1.8,1.3613568
21,1,1,1,1.3962634
22,1,1,1.8,1.3962634
23,1,1.8,1,1.3962634
24,1,1.8,1.8,1.3962634
25,1.5,0.5,0.5,1.2217305
26,1.5,0.5,1.075,1.2217305
27,1.5,0.5,1.65,1.2217305
28,1.5,0.5,2.225,1.2217305
29,1.5,0.5,2.8,1.2217305
30,1.5,1.075,0.5,1.2217305
31,1.5,1.075,1.075,1.2217305
32,1.5,1.075,1.65,1.2217305
33,1.5,1.075,2.225,1.2217305
34,1.5,1.075,2.8,1.2217305
35,1.5,1.65,0.5,1.2217305
36,1.5,1.65,1.075,1.2217305
37,1.5,1.65,1.65,1.2217305
38,1.5,1.65,2.225,1.2217305
39,1.5,1.65,2.8,1.2217305
40,1.5,2.225,0.5,1.2217305
41,1.5,2.225,1.075,1.2217305
42,1.5,2.225,1.65,1.2217305
43,1.5,2.225,2.225,1.2217305
44,1.5,2.225,2.8,1.2217305
45,1.5,2.8,0.5,1.2217305
46,1.5,2.8,1.075,1.2217305
47,1.5,2.8,1.65,1.2217305
48,1.5,2.8,2.225,1.2217305
49,1.5,2.8,2.8,1.2217305
50,1.5,0.5,0.5,1.2566371
51,1.5,0.5,1.075,1.2566371
52,1.5,0.5,1.65,1.2566371
53,1.5,0.5,2.225,1.2566371
54,1.5,0.5,2.8,1.2566371
55,1.5,1.075,0.5,1.2566371
56,1.5,1.075,1.075,1.2566371
57,1.5,1.075,1.65,1.2566371
58,1.5,1.075,2.225,1.2566371
59,1.5,1.075,2.8,1.2566371
60,1.5,1.65,0.5,1.2566371
61,1.5,1.65,1.075,1.2566371
62,1.5,1.65,1.65,1.2566371
63,1.5,1.65,2.225,1.2566371
64,1.5,1.65,2.8,1.2566371
65,1.5,2.225,0.5,1.2566371
66,1.5,2.225,1.075,1.2566371
67,1.5,2.225,1.65,1.2566371
68,1.5,2.225,2.225,1.2566371
69,1.5,2.225,2.8,1.2566371
70,1.5,2.8,0.5,1.2566371
71,1.5,2.8,1.075,1.2566371
72,1.5,2.8,1.65,1.2566371
73,1.5,2.8,2.225,1.2566371
74,1.5,2.8,2.8,1.2566371
75,1.5,0.5,0.5,1.2915436
76,1.5,0.5,1.075,1.2915436
77,1.5,0.5,1.65,1.2915436
78,1.5,0.5,2.225,1.2915436
79,1.5,0.5,2.8,1.2915436
80,1.5,1.075,0.5,1.2915436
81,1.5,1.075,1.075,1.2915436
82,1.5,1.075,1.65,1.2915436
83,1.5,1.075,2.225,1.2915436
84,1.5,1.075,2.8,1.2915436
85,1.5,1.65,0.5,1.2915436
86,1.5,1.65,1.075,1.2915436
87,1.5,1.65,1.65,1.2915436
88,1.5,1.65,2.225,1.2915436
89,1.5,1.65,2.8,1.2915436
90,1.5,2.225,0.5,1.2915436
91,1.5,2.225,1.075,1.2915436
92,1.5,2.225,1.65,1.2915436
93,1.5,2.225,2.225,1.2915436
94,1.5,2.225,2.8,1.2915436
95,1.5,2.8,0.5,1.2915436
96,1.5,2.8,1.075,1.2915436
97,1.5,2.8,1.65,1.2915436
98,1.5,2.8,2.225,1.2915436
99,1.5,2.8,2.8,1.2915436
100,1.5,0.5,0.5,1.3264502
101,1.5,0.5,1.075,1.3264502
102,1.5,0.5,1.65,1.3264502
103,1.5,0.5,2.225,1.3264502
104,1.5,0.5,2.8,1.3264502
105,1.5,1.075,0.5,1.3264502
106,1.5,1.075,1.075,1.3264502
107,1.5,1.075,1.65,1.3264502
108,1.5,1.075,2.225,1.3264502
109,1.5,1.075,2.8,1.3264502
110,1.5,1.65,0.5,1.3264502
111,1.5,1.65,1.075,1.3264502
112,1.5,1.65,1.65,1.3264502
113,1.5,1.65,2.225,1.3264502
114,1.5,1.65,2.8,1.3264502
115,1.5,2.225,0.5,1.3264502
116,1.5,2.225,1.075,1.3264502
117,1.5,2.225,1.65,1.3264502
118,1.5,2.225,2.225,1.3264502
119,1.5,2.225,2.8,1.3264502
120,1.5,2.8,0.5,1.3264502
121,1.5,2.8,1.075,1.3264502
122,1.5,2.8,1.65,1.3264502
123,1.5,2.8,2.225,1.3264502
124,1.5,2.8,2.8,1.3264502
125,1.5,0.5,0.5,1.3613568
126,1.5,0.5,1.075,1.3613568
127,1.5,0.5,1.65,1.3613568
128,1.5,0.5,2.225,1.3613568
129,1.5,0.5,2.8,1.3613568
130,1.5,1.075,0.5,1.3613568
131,1.5,1.075,1.075,1.3613568
132,1.5,1.075,1.65,1.3613568
133,1.5,1.075,2.225,1.3613568
134,1.5,1.075,2.8,1.3613568
135,1.5,1.65,0.5,1.3613568
136,1.5,1.65,1.075,1.3613568
137,1.5,1.65,1.65,1.3613568
138,1.5,1.65,2.225,1.3613568
139,1.5,1.65,2.8,1.3613568
140,1.5,2.225,0.5,1.3613568
141,1.5,2.225,1.075,1.3613568
142,1.5,2.225,1.65,1.3613568
143,1.5,2.225,2.225,1.3613568
144,1.5,2.225,2.8,1.3613568
145,1.5,2.8,0.5,1.3613568
146,1.5,2.8,1.075,1.3613568
147,1.5,2.8,1.65,1.3613568
148,1.5,2.8,2.225,1.3613568
149,1.5,2.8,2.8,1.3613568
150,1.5,0.5,0.5,1.3962634
151,1.5,0.5,1.075,1.3962634
152,1.5,0.5,1.65,1.3962634
153,1.5,0.5,2.225,1.3962634
154,1.5,0.5,2.8,1.3962634
155,1.5,1.075,0.5,1.3962634
156,1.5,1.075,1.075,1.3962634
157,1.5,1.075,1.65,1.3962634
158,1.5,1.075,2.225,1.3962634
159,1.5,1.075,2.8,1.3962634
160,1.5,1.65,0.5,1.3962634
161,1.5,1.65,1.075,1.3962634
162,1.5,1.65,1.65,1.3962634
163,1.5,1.65,2.225,1.3962634
164,1.5,1.65,2.8,1.3962634
165,1.5,2.225,0.5,1.3962634
166,1.5,2.225,1.075,1.3962634
167,1.5,2.225,1.65,1.3962634
168,1.5,2.225,2.225,1.3962634
169,1.5,2.225,2.8,1.3962634
170,1.5,2.8,0.5,1.3962634
171,1.5,2.8,1.075,1.3962634
172,1.5,2.8,1.65,1.3962634
173,1.5,2.8,2.225,1.3962634
174,1.5,2.8,2.8,1.3962634
175,2,0.5,0.5,1.2217305
176,2,1.6,0.5,1.2217305
177,2,2.7,0.5,1.2217305
178,2,3.8,0.5,1.2217305
179,2,0.5,1.6,1.2217305
180,2,1.6,1.6,1.2217305
181,2,2.7,1.6,1.2217305
182,2,3.8,1.6,1.2217305
183,2,0.5,2.7,1.2217305
184,2,1.6,2.7,1.2217305
185,2,2.7,2.7,1.2217305
186,2,3.8,2.7,1.2217305
187,2,0.5,3.8,1.2217305
188,2,1.6,3.8,1.2217305
189,2,2.7,3.8,1.2217305
190,2,3.8,3.8,1.2217305
191,2,0.5,0.5,1.2566371
192,2,1.6,0.5,1.2566371
193,2,2.7,0.5,1.2566371
194,2,3.8,0.5,1.2566371
195,2,0.5,1.6,1.2566371
196,2,1.6,1.6,1.2566371
197,2,2.7,1.6,1.2566371
198,2,3.8,1.6,1.2566371
199,2,0.5,2.7,1.2566371
200,2,1.6,2.7,1.2566371
201,2,2.7,2.7,1.2566371
202,2,3.8,2.7,1.2566371
203,2,0.5,3.8,1.2566371
204,2,1.6,3.8,1.2566371
205,2,2.7,3.8,1.2566371
206,2,3.8,3.8,1.2566371
207,2,0.5,0.5,1.2915436
208,2,1.6,0.5,1.2915436
209,2,2.7,0.5,1.2915436
210,2,3.8,0.5,1.2915436
211,2,0.5,1.6,1.2915436
212,2,1.6,1.6,1.2915436
213,2,2.7,1.6,1.2915436
214,2,3.8,1.6,1.2915436
215,2,0.5,2.7,1.2915436
216,2,1.6,2.7,1.2915436
217,2,2.7,2.7,1.2915436
218,2,3.8,2.7,1.2915436
219,2,0.5,3.8,1.2915436
220,2,1.6,3.8,1.2915436
221,2,2.7,3.8,1.2915436
222,2,3.8,3.8,1.2915436
223,2,0.5,0.5,1.3264502
224,2,1.6,0.5,1.3264502
225,2,2.7,0.5,1.3264502
226,2,3.8,0.5,1.3264502
227,2,0.5,1.6,1.3264502
228,2,1.6,1.6,1.3264502
229,2,2.7,1.6,1.3264502
230,2,3.8,1.6,1.3264502
231,2,0.5,2.7,1.3264502
232,2,1.6,2.7,1.3264502
233,2,2.7,2.7,1.3264502
234,2,3.8,2.7,1.3264502
235,2,0.5,3.8,1.3264502
236,2,1.6,3.8,1.3264502
237,2,2.7,3.8,1.3264502
238,2,3.8,3.8,1.3264502
