Device: cuda
Epochs: 1  train_loss: 43.14  val_loss: 34.81  ShiftErr: 82.35 %  swAErr: 99.00999999999999 %  swBErr: 85.16 %

Epochs: 2  train_loss: 30.98  val_loss: 33.87  ShiftErr: 77.94 %  swAErr: 97.31 %  swBErr: 88.4 %

Epochs: 3  train_loss: 32.87  val_loss: 32.41  ShiftErr: 73.86 %  swAErr: 93.83 %  swBErr: 87.87 %

Epochs: 4  train_loss: 35.38  val_loss: 30.61  ShiftErr: 67.53 %  swAErr: 88.92 %  swBErr: 87.5 %

Epochs: 5  train_loss: 30.94  val_loss: 28.29  ShiftErr: 56.76 %  swAErr: 82.11 %  swBErr: 86.38 %

Epochs: 6  train_loss: 29.75  val_loss: 26.2  ShiftErr: 47.099999999999994 %  swAErr: 77.46 %  swBErr: 83.96000000000001 %

Epochs: 7  train_loss: 29.3  val_loss: 24.47  ShiftErr: 44.15 %  swAErr: 74.88 %  swBErr: 81.10000000000001 %

Epochs: 8  train_loss: 27.84  val_loss: 22.94  ShiftErr: 43.93 %  swAErr: 72.76 %  swBErr: 79.06 %

Epochs: 9  train_loss: 29.26  val_loss: 21.84  ShiftErr: 44.58 %  swAErr: 71.38 %  swBErr: 78.48 %

Epochs: 10  train_loss: 28.22  val_loss: 20.88  ShiftErr: 44.5 %  swAErr: 70.34 %  swBErr: 78.82000000000001 %

Epochs: 11  train_loss: 25.45  val_loss: 19.7  ShiftErr: 37.0 %  swAErr: 69.76 %  swBErr: 80.36 %

Epochs: 12  train_loss: 23.03  val_loss: 18.89  ShiftErr: 36.51 %  swAErr: 69.48 %  swBErr: 80.62 %

Epochs: 13  train_loss: 20.87  val_loss: 18.13  ShiftErr: 35.49 %  swAErr: 70.24000000000001 %  swBErr: 79.09 %

Epochs: 14  train_loss: 21.47  val_loss: 17.65  ShiftErr: 34.17 %  swAErr: 71.2 %  swBErr: 78.16 %

Epochs: 15  train_loss: 20.39  val_loss: 17.37  ShiftErr: 33.79 %  swAErr: 72.71 %  swBErr: 78.25999999999999 %

Epochs: 16  train_loss: 17.32  val_loss: 17.06  ShiftErr: 32.940000000000005 %  swAErr: 73.32 %  swBErr: 78.28 %

Epochs: 17  train_loss: 22.72  val_loss: 16.75  ShiftErr: 32.269999999999996 %  swAErr: 73.36 %  swBErr: 78.22 %

Epochs: 18  train_loss: 20.67  val_loss: 16.51  ShiftErr: 31.540000000000003 %  swAErr: 73.6 %  swBErr: 78.23 %

Epochs: 19  train_loss: 16.82  val_loss: 16.23  ShiftErr: 30.220000000000002 %  swAErr: 73.86 %  swBErr: 77.71000000000001 %

Epochs: 20  train_loss: 19.29  val_loss: 15.9  ShiftErr: 29.189999999999998 %  swAErr: 74.03999999999999 %  swBErr: 75.79 %

Epochs: 21  train_loss: 18.14  val_loss: 15.68  ShiftErr: 28.15 %  swAErr: 74.3 %  swBErr: 75.33 %

Epochs: 22  train_loss: 16.01  val_loss: 15.08  ShiftErr: 27.05 %  swAErr: 73.28 %  swBErr: 75.38 %

Epochs: 23  train_loss: 19.06  val_loss: 14.18  ShiftErr: 27.800000000000004 %  swAErr: 71.77 %  swBErr: 75.69 %

Epochs: 24  train_loss: 18.57  val_loss: 13.23  ShiftErr: 28.12 %  swAErr: 70.09 %  swBErr: 76.03 %

Epochs: 25  train_loss: 14.82  val_loss: 12.3  ShiftErr: 28.22 %  swAErr: 68.7 %  swBErr: 75.44 %

Epochs: 26  train_loss: 12.87  val_loss: 10.56  ShiftErr: 27.779999999999998 %  swAErr: 66.49000000000001 %  swBErr: 71.93 %

Epochs: 27  train_loss: 13.06  val_loss: 9.76  ShiftErr: 29.299999999999997 %  swAErr: 66.2 %  swBErr: 72.89999999999999 %

Epochs: 28  train_loss: 15.52  val_loss: 9.61  ShiftErr: 29.13 %  swAErr: 67.24 %  swBErr: 74.4 %

Epochs: 29  train_loss: 13.3  val_loss: 9.4  ShiftErr: 29.080000000000002 %  swAErr: 65.28 %  swBErr: 76.95 %

Epochs: 30  train_loss: 10.19  val_loss: 9.09  ShiftErr: 30.09 %  swAErr: 60.260000000000005 %  swBErr: 80.96 %

Epochs: 31  train_loss: 9.24  val_loss: 8.76  ShiftErr: 29.720000000000002 %  swAErr: 56.81 %  swBErr: 77.56 %

Epochs: 32  train_loss: 7.23  val_loss: 8.42  ShiftErr: 29.459999999999997 %  swAErr: 54.05 %  swBErr: 74.62 %

Epochs: 33  train_loss: 7.8  val_loss: 8.07  ShiftErr: 28.88 %  swAErr: 54.279999999999994 %  swBErr: 73.89 %

Epochs: 34  train_loss: 8.02  val_loss: 7.74  ShiftErr: 27.950000000000003 %  swAErr: 54.56999999999999 %  swBErr: 72.87 %

Epochs: 35  train_loss: 8.99  val_loss: 7.33  ShiftErr: 26.08 %  swAErr: 52.52 %  swBErr: 70.71 %

Epochs: 36  train_loss: 9.44  val_loss: 7.1  ShiftErr: 25.590000000000003 %  swAErr: 50.86000000000001 %  swBErr: 70.07 %

Epochs: 37  train_loss: 8.14  val_loss: 6.95  ShiftErr: 25.45 %  swAErr: 50.73 %  swBErr: 69.36 %

Epochs: 38  train_loss: 7.88  val_loss: 6.85  ShiftErr: 25.490000000000002 %  swAErr: 50.080000000000005 %  swBErr: 69.66 %

Epochs: 39  train_loss: 6.35  val_loss: 6.72  ShiftErr: 24.759999999999998 %  swAErr: 49.41 %  swBErr: 69.63000000000001 %

Epochs: 40  train_loss: 7.18  val_loss: 6.65  ShiftErr: 24.21 %  swAErr: 49.41 %  swBErr: 69.27 %

Epochs: 41  train_loss: 8.1  val_loss: 6.62  ShiftErr: 24.52 %  swAErr: 49.3 %  swBErr: 68.89 %

Epochs: 42  train_loss: 7.59  val_loss: 6.59  ShiftErr: 24.32 %  swAErr: 48.97 %  swBErr: 68.28999999999999 %

Epochs: 43  train_loss: 7.16  val_loss: 6.54  ShiftErr: 23.95 %  swAErr: 48.66 %  swBErr: 67.99 %

Epochs: 44  train_loss: 8.5  val_loss: 6.53  ShiftErr: 24.240000000000002 %  swAErr: 48.51 %  swBErr: 67.91 %

Epochs: 45  train_loss: 7.54  val_loss: 6.52  ShiftErr: 24.23 %  swAErr: 48.82 %  swBErr: 67.78999999999999 %

Epochs: 46  train_loss: 6.98  val_loss: 6.51  ShiftErr: 24.099999999999998 %  swAErr: 48.39 %  swBErr: 67.17999999999999 %

Epochs: 47  train_loss: 6.64  val_loss: 6.6  ShiftErr: 24.72 %  swAErr: 48.24 %  swBErr: 66.84 %

