Device: cuda
Epochs: 1  train_loss: 43.03  val_loss: 36.05  ShiftErr: 86.46000000000001 %  swAErr: 97.45 %  swBErr: 99.8 %

Epochs: 2  train_loss: 42.71  val_loss: 35.67  ShiftErr: 85.18 %  swAErr: 96.31 %  swBErr: 99.77000000000001 %

Epochs: 3  train_loss: 38.75  val_loss: 35.26  ShiftErr: 83.86 %  swAErr: 95.02000000000001 %  swBErr: 99.72999999999999 %

Epochs: 4  train_loss: 44.44  val_loss: 34.83  ShiftErr: 82.57 %  swAErr: 93.60000000000001 %  swBErr: 99.69 %

Epochs: 5  train_loss: 44.04  val_loss: 34.38  ShiftErr: 81.31 %  swAErr: 92.05 %  swBErr: 99.63 %

Epochs: 6  train_loss: 39.44  val_loss: 33.88  ShiftErr: 80.03 %  swAErr: 90.36 %  swBErr: 99.55000000000001 %

Epochs: 7  train_loss: 38.63  val_loss: 33.34  ShiftErr: 78.72 %  swAErr: 88.58 %  swBErr: 99.33999999999999 %

Epochs: 8  train_loss: 40.9  val_loss: 32.73  ShiftErr: 77.33 %  swAErr: 86.77 %  swBErr: 98.97 %

Epochs: 9  train_loss: 38.91  val_loss: 32.05  ShiftErr: 75.9 %  swAErr: 84.7 %  swBErr: 98.50999999999999 %

Epochs: 10  train_loss: 42.99  val_loss: 31.31  ShiftErr: 74.4 %  swAErr: 82.09 %  swBErr: 97.99 %

Epochs: 11  train_loss: 41.1  val_loss: 30.54  ShiftErr: 72.82 %  swAErr: 79.55 %  swBErr: 97.42 %

Epochs: 12  train_loss: 37.71  val_loss: 29.71  ShiftErr: 71.12 %  swAErr: 76.61 %  swBErr: 96.78 %

Epochs: 13  train_loss: 39.14  val_loss: 28.78  ShiftErr: 69.3 %  swAErr: 73.63 %  swBErr: 95.48 %

Epochs: 14  train_loss: 35.45  val_loss: 27.81  ShiftErr: 67.34 %  swAErr: 70.57 %  swBErr: 93.85 %

Epochs: 15  train_loss: 30.12  val_loss: 26.78  ShiftErr: 65.24 %  swAErr: 67.41 %  swBErr: 91.84 %

Epochs: 16  train_loss: 31.72  val_loss: 25.72  ShiftErr: 63.190000000000005 %  swAErr: 64.32 %  swBErr: 89.74 %

Epochs: 17  train_loss: 30.16  val_loss: 24.64  ShiftErr: 61.35 %  swAErr: 61.39 %  swBErr: 87.72999999999999 %

Epochs: 18  train_loss: 32.79  val_loss: 23.47  ShiftErr: 59.28 %  swAErr: 58.68 %  swBErr: 85.35000000000001 %

Epochs: 19  train_loss: 29.92  val_loss: 22.23  ShiftErr: 56.97 %  swAErr: 56.10000000000001 %  swBErr: 82.6 %

Epochs: 20  train_loss: 27.93  val_loss: 20.96  ShiftErr: 54.53 %  swAErr: 53.82 %  swBErr: 79.56 %

Epochs: 21  train_loss: 28.45  val_loss: 19.7  ShiftErr: 52.059999999999995 %  swAErr: 52.400000000000006 %  swBErr: 76.23 %

Epochs: 22  train_loss: 24.41  val_loss: 18.47  ShiftErr: 49.519999999999996 %  swAErr: 51.2 %  swBErr: 72.74000000000001 %

Epochs: 23  train_loss: 23.92  val_loss: 17.3  ShiftErr: 46.949999999999996 %  swAErr: 50.029999999999994 %  swBErr: 69.13 %

Epochs: 24  train_loss: 21.16  val_loss: 16.19  ShiftErr: 44.74 %  swAErr: 49.21 %  swBErr: 65.59 %

Epochs: 25  train_loss: 24.36  val_loss: 15.14  ShiftErr: 42.620000000000005 %  swAErr: 48.61 %  swBErr: 62.61 %

Epochs: 26  train_loss: 21.37  val_loss: 14.16  ShiftErr: 40.92 %  swAErr: 48.27 %  swBErr: 59.58 %

Epochs: 27  train_loss: 19.68  val_loss: 13.27  ShiftErr: 39.32 %  swAErr: 48.33 %  swBErr: 56.86 %

Epochs: 28  train_loss: 18.45  val_loss: 12.46  ShiftErr: 37.81 %  swAErr: 48.97 %  swBErr: 54.50000000000001 %

Epochs: 29  train_loss: 16.25  val_loss: 11.74  ShiftErr: 36.46 %  swAErr: 49.65 %  swBErr: 52.459999999999994 %

Epochs: 30  train_loss: 18.56  val_loss: 11.1  ShiftErr: 35.49 %  swAErr: 50.4 %  swBErr: 50.660000000000004 %

Epochs: 31  train_loss: 17.1  val_loss: 10.55  ShiftErr: 34.760000000000005 %  swAErr: 51.4 %  swBErr: 49.3 %

Epochs: 32  train_loss: 19.25  val_loss: 10.07  ShiftErr: 34.339999999999996 %  swAErr: 52.370000000000005 %  swBErr: 48.6 %

Epochs: 33  train_loss: 15.39  val_loss: 9.66  ShiftErr: 34.0 %  swAErr: 53.400000000000006 %  swBErr: 48.16 %

Epochs: 34  train_loss: 16.91  val_loss: 9.31  ShiftErr: 33.76 %  swAErr: 54.510000000000005 %  swBErr: 47.949999999999996 %

Epochs: 35  train_loss: 12.8  val_loss: 9.02  ShiftErr: 33.629999999999995 %  swAErr: 55.64 %  swBErr: 48.17 %

Epochs: 36  train_loss: 15.24  val_loss: 8.78  ShiftErr: 33.57 %  swAErr: 56.65 %  swBErr: 48.41 %

Epochs: 37  train_loss: 14.04  val_loss: 8.59  ShiftErr: 33.62 %  swAErr: 57.69 %  swBErr: 48.86 %

Epochs: 38  train_loss: 15.07  val_loss: 8.43  ShiftErr: 33.75 %  swAErr: 58.709999999999994 %  swBErr: 49.519999999999996 %

Epochs: 39  train_loss: 13.78  val_loss: 8.3  ShiftErr: 33.93 %  swAErr: 59.650000000000006 %  swBErr: 50.43 %

Epochs: 40  train_loss: 15.75  val_loss: 8.2  ShiftErr: 34.08 %  swAErr: 60.51 %  swBErr: 51.32 %

Epochs: 41  train_loss: 12.27  val_loss: 8.11  ShiftErr: 34.22 %  swAErr: 61.31999999999999 %  swBErr: 52.18000000000001 %

Epochs: 42  train_loss: 13.89  val_loss: 8.05  ShiftErr: 34.300000000000004 %  swAErr: 61.980000000000004 %  swBErr: 53.0 %

Epochs: 43  train_loss: 12.78  val_loss: 7.99  ShiftErr: 34.339999999999996 %  swAErr: 62.62 %  swBErr: 53.87 %

Epochs: 44  train_loss: 12.25  val_loss: 7.95  ShiftErr: 34.33 %  swAErr: 63.239999999999995 %  swBErr: 54.87 %

Epochs: 45  train_loss: 12.73  val_loss: 7.91  ShiftErr: 34.31 %  swAErr: 63.77 %  swBErr: 55.97 %

Epochs: 46  train_loss: 13.78  val_loss: 7.88  ShiftErr: 34.31 %  swAErr: 64.25999999999999 %  swBErr: 56.989999999999995 %

Epochs: 47  train_loss: 11.53  val_loss: 7.85  ShiftErr: 34.29 %  swAErr: 64.64999999999999 %  swBErr: 57.89 %

