Device: cuda
Epochs: 1  train_loss: 37.31  val_loss: 35.65  ShiftErr: 95.44 %  swAErr: 83.1 %  swBErr: 100.0 %

Epochs: 2  train_loss: 37.84  val_loss: 34.9  ShiftErr: 92.93 %  swAErr: 83.3 %  swBErr: 97.15 %

Epochs: 3  train_loss: 38.27  val_loss: 33.43  ShiftErr: 89.91 %  swAErr: 82.97 %  swBErr: 92.82000000000001 %

Epochs: 4  train_loss: 41.69  val_loss: 31.98  ShiftErr: 86.71 %  swAErr: 82.36 %  swBErr: 88.78 %

Epochs: 5  train_loss: 35.87  val_loss: 30.56  ShiftErr: 82.99 %  swAErr: 81.77 %  swBErr: 84.69 %

Epochs: 6  train_loss: 36.16  val_loss: 29.26  ShiftErr: 79.34 %  swAErr: 80.96 %  swBErr: 81.19 %

Epochs: 7  train_loss: 31.84  val_loss: 28.13  ShiftErr: 76.24 %  swAErr: 79.88 %  swBErr: 78.81 %

Epochs: 8  train_loss: 30.8  val_loss: 27.08  ShiftErr: 73.1 %  swAErr: 79.10000000000001 %  swBErr: 76.71 %

Epochs: 9  train_loss: 34.06  val_loss: 26.1  ShiftErr: 70.05 %  swAErr: 78.34 %  swBErr: 74.72999999999999 %

Epochs: 10  train_loss: 29.94  val_loss: 25.26  ShiftErr: 67.73 %  swAErr: 77.78 %  swBErr: 73.27 %

Epochs: 11  train_loss: 27.12  val_loss: 24.5  ShiftErr: 65.69 %  swAErr: 77.02 %  swBErr: 72.46000000000001 %

Epochs: 12  train_loss: 34.77  val_loss: 23.88  ShiftErr: 64.3 %  swAErr: 75.96000000000001 %  swBErr: 71.92 %

Epochs: 13  train_loss: 32.61  val_loss: 23.37  ShiftErr: 63.62 %  swAErr: 75.03999999999999 %  swBErr: 71.56 %

Epochs: 14  train_loss: 30.42  val_loss: 22.9  ShiftErr: 63.1 %  swAErr: 74.38 %  swBErr: 71.28 %

Epochs: 15  train_loss: 28.86  val_loss: 22.37  ShiftErr: 62.45 %  swAErr: 73.85000000000001 %  swBErr: 70.98 %

Epochs: 16  train_loss: 26.74  val_loss: 22.0  ShiftErr: 61.870000000000005 %  swAErr: 73.63 %  swBErr: 70.78999999999999 %

Epochs: 17  train_loss: 25.17  val_loss: 21.58  ShiftErr: 61.08 %  swAErr: 73.52 %  swBErr: 70.72 %

Epochs: 18  train_loss: 32.91  val_loss: 21.3  ShiftErr: 60.31999999999999 %  swAErr: 73.65 %  swBErr: 70.67 %

Epochs: 19  train_loss: 31.28  val_loss: 20.91  ShiftErr: 59.36 %  swAErr: 73.75 %  swBErr: 70.77 %

Epochs: 20  train_loss: 27.24  val_loss: 20.6  ShiftErr: 58.550000000000004 %  swAErr: 73.91 %  swBErr: 70.78999999999999 %

Epochs: 21  train_loss: 27.15  val_loss: 20.35  ShiftErr: 57.809999999999995 %  swAErr: 74.17 %  swBErr: 70.71 %

Epochs: 22  train_loss: 24.11  val_loss: 20.08  ShiftErr: 57.05 %  swAErr: 74.4 %  swBErr: 70.76 %

Epochs: 23  train_loss: 25.72  val_loss: 19.86  ShiftErr: 56.32 %  swAErr: 74.53 %  swBErr: 70.7 %

Epochs: 24  train_loss: 26.31  val_loss: 19.63  ShiftErr: 55.58 %  swAErr: 74.62 %  swBErr: 70.59 %

Epochs: 25  train_loss: 25.19  val_loss: 19.44  ShiftErr: 54.85 %  swAErr: 74.17 %  swBErr: 70.59 %

Epochs: 26  train_loss: 25.49  val_loss: 19.25  ShiftErr: 54.22 %  swAErr: 74.28 %  swBErr: 70.49 %

