Device: cuda
Epochs: 1  train_loss: 38.18  val_loss: 33.2  ShiftErr: 84.89999999999999 %  swAErr: 99.67 %  swBErr: 81.61 %

Epochs: 2  train_loss: 28.04  val_loss: 28.92  ShiftErr: 83.7 %  swAErr: 93.88 %  swBErr: 72.54 %

Epochs: 3  train_loss: 26.94  val_loss: 24.38  ShiftErr: 79.88 %  swAErr: 87.9 %  swBErr: 64.53 %

Epochs: 4  train_loss: 25.25  val_loss: 20.21  ShiftErr: 72.28999999999999 %  swAErr: 82.80999999999999 %  swBErr: 59.160000000000004 %

Epochs: 5  train_loss: 22.01  val_loss: 16.85  ShiftErr: 64.01 %  swAErr: 76.55 %  swBErr: 57.54 %

Epochs: 6  train_loss: 22.24  val_loss: 14.06  ShiftErr: 55.1 %  swAErr: 69.72 %  swBErr: 57.010000000000005 %

Epochs: 7  train_loss: 13.02  val_loss: 12.1  ShiftErr: 49.44 %  swAErr: 66.52 %  swBErr: 59.13 %

Epochs: 8  train_loss: 14.63  val_loss: 10.55  ShiftErr: 47.05 %  swAErr: 64.9 %  swBErr: 61.7 %

Epochs: 9  train_loss: 13.75  val_loss: 9.01  ShiftErr: 41.089999999999996 %  swAErr: 63.93 %  swBErr: 62.99 %

Epochs: 10  train_loss: 11.08  val_loss: 7.97  ShiftErr: 34.73 %  swAErr: 63.51 %  swBErr: 62.91 %

Epochs: 11  train_loss: 6.57  val_loss: 7.18  ShiftErr: 33.989999999999995 %  swAErr: 60.22 %  swBErr: 62.39 %

Epochs: 12  train_loss: 8.83  val_loss: 6.64  ShiftErr: 33.739999999999995 %  swAErr: 53.779999999999994 %  swBErr: 62.41 %

Epochs: 13  train_loss: 8.58  val_loss: 6.32  ShiftErr: 30.819999999999997 %  swAErr: 54.98 %  swBErr: 63.21 %

Epochs: 14  train_loss: 8.53  val_loss: 6.16  ShiftErr: 27.38 %  swAErr: 58.76 %  swBErr: 62.67 %

Epochs: 15  train_loss: 9.11  val_loss: 6.12  ShiftErr: 24.94 %  swAErr: 62.56 %  swBErr: 61.56 %

Epochs: 16  train_loss: 7.15  val_loss: 5.98  ShiftErr: 23.48 %  swAErr: 64.57000000000001 %  swBErr: 60.28 %

Epochs: 17  train_loss: 7.64  val_loss: 5.79  ShiftErr: 22.99 %  swAErr: 64.55 %  swBErr: 57.31 %

Epochs: 18  train_loss: 8.07  val_loss: 5.6  ShiftErr: 22.919999999999998 %  swAErr: 62.59 %  swBErr: 55.230000000000004 %

Epochs: 19  train_loss: 6.97  val_loss: 5.43  ShiftErr: 23.14 %  swAErr: 59.86 %  swBErr: 53.87 %

Epochs: 20  train_loss: 5.37  val_loss: 5.31  ShiftErr: 23.22 %  swAErr: 57.76 %  swBErr: 53.02 %

Epochs: 21  train_loss: 7.13  val_loss: 5.21  ShiftErr: 23.16 %  swAErr: 56.18 %  swBErr: 52.56999999999999 %

Epochs: 22  train_loss: 7.56  val_loss: 5.17  ShiftErr: 23.04 %  swAErr: 55.489999999999995 %  swBErr: 52.75 %

Epochs: 23  train_loss: 6.85  val_loss: 5.14  ShiftErr: 22.8 %  swAErr: 54.94 %  swBErr: 52.849999999999994 %

Epochs: 24  train_loss: 4.54  val_loss: 5.14  ShiftErr: 22.64 %  swAErr: 54.89000000000001 %  swBErr: 52.87 %

Epochs: 25  train_loss: 7.23  val_loss: 5.16  ShiftErr: 22.63 %  swAErr: 54.64 %  swBErr: 52.2 %

Epochs: 26  train_loss: 6.32  val_loss: 5.11  ShiftErr: 22.54 %  swAErr: 54.510000000000005 %  swBErr: 51.519999999999996 %

Epochs: 27  train_loss: 7.28  val_loss: 5.08  ShiftErr: 22.63 %  swAErr: 55.06999999999999 %  swBErr: 51.339999999999996 %

Epochs: 28  train_loss: 6.23  val_loss: 5.1  ShiftErr: 23.1 %  swAErr: 55.03 %  swBErr: 50.949999999999996 %

Epochs: 29  train_loss: 7.92  val_loss: 5.03  ShiftErr: 23.06 %  swAErr: 54.31 %  swBErr: 50.46000000000001 %

Epochs: 30  train_loss: 5.75  val_loss: 4.98  ShiftErr: 22.93 %  swAErr: 53.449999999999996 %  swBErr: 49.919999999999995 %

Epochs: 31  train_loss: 6.34  val_loss: 4.97  ShiftErr: 22.82 %  swAErr: 54.290000000000006 %  swBErr: 50.71 %

Epochs: 32  train_loss: 6.69  val_loss: 4.94  ShiftErr: 22.64 %  swAErr: 53.93 %  swBErr: 50.6 %

Epochs: 33  train_loss: 5.85  val_loss: 4.91  ShiftErr: 22.55 %  swAErr: 52.82 %  swBErr: 49.669999999999995 %

Epochs: 34  train_loss: 5.59  val_loss: 4.89  ShiftErr: 22.439999999999998 %  swAErr: 52.370000000000005 %  swBErr: 49.05 %

Epochs: 35  train_loss: 6.3  val_loss: 4.84  ShiftErr: 22.33 %  swAErr: 52.690000000000005 %  swBErr: 49.04 %

Epochs: 36  train_loss: 6.35  val_loss: 4.83  ShiftErr: 22.37 %  swAErr: 52.73 %  swBErr: 49.08 %

Epochs: 37  train_loss: 6.46  val_loss: 4.86  ShiftErr: 22.43 %  swAErr: 52.300000000000004 %  swBErr: 48.63 %

Epochs: 38  train_loss: 7.25  val_loss: 4.87  ShiftErr: 22.48 %  swAErr: 52.68000000000001 %  swBErr: 48.61 %

Epochs: 39  train_loss: 6.74  val_loss: 4.82  ShiftErr: 22.3 %  swAErr: 53.39 %  swBErr: 49.11 %

Epochs: 40  train_loss: 6.01  val_loss: 4.84  ShiftErr: 22.38 %  swAErr: 52.800000000000004 %  swBErr: 48.4 %

Epochs: 41  train_loss: 5.75  val_loss: 4.81  ShiftErr: 22.3 %  swAErr: 52.669999999999995 %  swBErr: 48.0 %

Epochs: 42  train_loss: 6.45  val_loss: 4.72  ShiftErr: 22.21 %  swAErr: 52.910000000000004 %  swBErr: 48.29 %

Epochs: 43  train_loss: 5.76  val_loss: 4.75  ShiftErr: 22.439999999999998 %  swAErr: 52.900000000000006 %  swBErr: 48.27 %

Epochs: 44  train_loss: 6.46  val_loss: 4.74  ShiftErr: 22.24 %  swAErr: 52.300000000000004 %  swBErr: 47.69 %

Epochs: 45  train_loss: 6.53  val_loss: 4.7  ShiftErr: 22.17 %  swAErr: 51.910000000000004 %  swBErr: 47.67 %

Epochs: 46  train_loss: 6.19  val_loss: 4.73  ShiftErr: 22.12 %  swAErr: 51.57000000000001 %  swBErr: 47.58 %

Epochs: 47  train_loss: 6.09  val_loss: 4.81  ShiftErr: 22.1 %  swAErr: 52.800000000000004 %  swBErr: 48.53 %

Epochs: 48  train_loss: 6.31  val_loss: 4.75  ShiftErr: 22.09 %  swAErr: 53.43 %  swBErr: 48.65 %

Epochs: 49  train_loss: 5.64  val_loss: 4.68  ShiftErr: 21.94 %  swAErr: 52.86 %  swBErr: 48.6 %

Epochs: 50  train_loss: 5.9  val_loss: 4.65  ShiftErr: 21.86 %  swAErr: 51.85999999999999 %  swBErr: 47.839999999999996 %

Epochs: 51  train_loss: 5.47  val_loss: 4.72  ShiftErr: 21.9 %  swAErr: 51.629999999999995 %  swBErr: 47.81 %

Epochs: 52  train_loss: 5.42  val_loss: 4.66  ShiftErr: 21.58 %  swAErr: 51.160000000000004 %  swBErr: 47.42 %

Epochs: 53  train_loss: 5.03  val_loss: 4.65  ShiftErr: 21.78 %  swAErr: 52.04 %  swBErr: 47.69 %

Epochs: 54  train_loss: 6.21  val_loss: 4.66  ShiftErr: 21.88 %  swAErr: 52.42 %  swBErr: 47.89 %

Epochs: 55  train_loss: 5.94  val_loss: 4.63  ShiftErr: 21.8 %  swAErr: 51.64 %  swBErr: 47.43 %

Epochs: 56  train_loss: 5.7  val_loss: 4.65  ShiftErr: 21.759999999999998 %  swAErr: 51.54 %  swBErr: 47.55 %

Epochs: 57  train_loss: 5.37  val_loss: 4.63  ShiftErr: 21.73 %  swAErr: 51.43 %  swBErr: 47.27 %

Epochs: 58  train_loss: 6.48  val_loss: 4.62  ShiftErr: 21.38 %  swAErr: 51.65 %  swBErr: 47.4 %

Epochs: 59  train_loss: 6.36  val_loss: 4.6  ShiftErr: 21.3 %  swAErr: 51.28 %  swBErr: 47.43 %

Epochs: 60  train_loss: 5.46  val_loss: 4.59  ShiftErr: 21.37 %  swAErr: 50.59 %  swBErr: 47.05 %

Epochs: 61  train_loss: 5.79  val_loss: 4.51  ShiftErr: 21.38 %  swAErr: 49.419999999999995 %  swBErr: 46.379999999999995 %

Epochs: 62  train_loss: 6.94  val_loss: 4.61  ShiftErr: 21.46 %  swAErr: 51.21 %  swBErr: 47.72 %

Epochs: 63  train_loss: 6.79  val_loss: 4.66  ShiftErr: 21.72 %  swAErr: 52.400000000000006 %  swBErr: 48.72 %

Epochs: 64  train_loss: 5.73  val_loss: 4.61  ShiftErr: 21.94 %  swAErr: 52.1 %  swBErr: 48.08 %

Epochs: 65  train_loss: 4.96  val_loss: 4.58  ShiftErr: 21.85 %  swAErr: 51.7 %  swBErr: 47.36 %

Epochs: 66  train_loss: 5.8  val_loss: 4.55  ShiftErr: 21.4 %  swAErr: 50.580000000000005 %  swBErr: 47.010000000000005 %

